rank,Youtuber,subscribers,video views,video count,category,started
25,FASIRKA RIYADA,"89,000","765,527",517,Education,2017
26,Somali Star Tv,"85,000","18,103,405","19,920",News & Politics,2015
27,Xidig Daruur,"73,800","152,048",236,Entertainment,2011
28,SOMNEWS TV,"65,500","7,791,713","30,987",People & Blogs,2015
29,Somalibooks,"63,300","7,154",10,Education,2011
30,GALEYR MEDIA,"42,200","1,021,611",27,Autos & Vehicles,2010
31,All Somali People,"35,657","12,200,293","2,469",People & Blogs,2016
32,Borama Cable,"35,400","4,378,941","2,387",People & Blogs,2014
33,Asraarta Riyooyinka  والرقية الشرعية,"34,200","1,548,719",854,Film & Animation,2011
34,Curubo Media,"24,200","106,294",223,Entertainment,2015
35,Horseed Media News,"21,500","5,213,660","2,093",News & Politics,2007
36,Abshir Dhiirane,"19,200","4,892,897",642,News & Politics,2011
37,Jiglan Media,"15,800","1,425,833",921,People & Blogs,2013
38,Horn of Africa,"15,100","1,886,686",11,People & Blogs,2014
39,SLNTV NEWS,"13,300","2,781,348","1,425",People & Blogs,2014
40,Ahmed Somali,"12,000","757,149",29,Entertainment,2013
41,Suhaybka,"10,900",741,37,People & Blogs,2013
42,CALI DUCALE,"10,100","2,090,192",260,News & Politics,2012
43,Farxada Nolosha,"8,181",0,0,Education,2016
44,McFarah Gulled,"7,740","527,872",190,Education,2012
45,abdihakiin yousuf,"6,736","348,137",16,Film & Animation,2016
46,Africa Tv,"6,500","556,062",29,,2014
47,Bulsho Media Paris,"5,480","258,782",37,Entertainment,2013
48,Justin pritish,"5,380","321,552",17,,2019
49,fugg,"5,000","401,936",4,,2010
50,MAQUUSTE STUDIO,"5,000","1,155",12,Entertainment,2017
51,Real KingMamba,"3,870","334,095",244,Gaming,2013
52,SLNTV Somaliland National Television,"3,590","427,804",727,Education,2010
53,Maweelo Tv,"3,237","744,608",21,Entertainment,2015
54,M.C.Y MR.,"2,690","355,259",14,People & Blogs,2017
55,FlashGordon,"2,290","4,883,127",38,Autos & Vehicles,2008
56,Hargeisa Wow,"2,200",0,0,People & Blogs,2016
57,Maag Official,"1,670","296,139",84,,2020
58,Walal TiGer1,"1,630","54,566",18,,2018
59,K'naan Djamal,"1,036","94,103",10,People & Blogs,2016
60,Mubarik Mario,935,"2,482",9,Music,2014
61,Xogdoone Khaddar Olad,327,"112,955",51,People & Blogs,2011
62,madaxtooyo news,193,"13,602",105,People & Blogs,2017
63,kr,100,0,0,Entertainment,2015
64,Legends Vision,0,"80,022",29,People & Blogs,2017
65,CMC MEDIA PRO,0,38,13,Music,2013
66,Som Tube,0,"92,134",26,Film & Animation,2016
67,Asma Studio,0,"717,674",88,Entertainment,2017
68,SOMALI NEWS LIVE HD,0,"19,214,695","3,514",News & Politics,2017
69,Dur-dur Media Group,0,"87,105,542","3,130",People & Blogs,2017
70,A.A.A KHAAJA,0,"283,750",401,Entertainment,2015
71,MO EG,0,"6,293,083","7,538",People & Blogs,2012
1,Garaad TV,"527,000","206,359,166","5,132",People & Blogs,2013
2,idaacadda buuloxuubeey,"522,000","61,298,156","1,116",People & Blogs,2013
3,HANOOLAATO,"480,000","69,472,383","1,989",Nonprofits & Activism,2014
4,Sheekh Mustafe Official Channel,"400,000","34,354,450",291,Education,2016
5,YAASIIN BALBALAADHSHE,"310,000","96,853,720","7,326",Entertainment,2014
6,RTN Somali TV,"279,000","44,828,984","21,027",People & Blogs,2016
7,iM252,"274,000","12,570,280",318,People & Blogs,2016
8,KNN,"253,000","75,309,050","23,719",News & Politics,2016
9,Cabeey Daahir,"231,000","6,078,191",208,Education,2015
10,Awoowe Xidig,"228,000","25,495,139",459,Science & Technology,2016
11,MamaMalyunSuuban,"218,000","60,382,285","2,953",People & Blogs,2019
12,Sheekh Maxamuud Shibli,"211,000","22,542,073","2,708",,2016
13,MAANSAN,"208,000","26,585,411","1,677",Film & Animation,2012
14,Somali World,"206,000","968,872",25,Entertainment,2016
15,Abdullaahi Daacad,"203,000","4,444,699",551,People & Blogs,2015
16,Daauus Media,"200,000","13,599,690","3,328",Entertainment,2016
17,Cabdimaalik muse coldoon,"179,000","24,583,223","1,293",News & Politics,2010
18,Arabsiyo News,"166,000","75,119,631","5,970",News & Politics,2017
19,Abdirahman C-BOY,"160,000","29,073,698",144,Film & Animation,2017
20,Wardheer Media Tv,"160,000","19,824,031","2,822",People & Blogs,2013
21,Future Brothers Production,"148,000","32,827,342",649,Film & Animation,2009
22,True Cable Tv,"109,000","12,926,218","3,379",Education,2015
23,Aar Maanta,"99,100","19,669,624",120,Music,2007
24,Waafi Films,"97,800","25,214,495","2,570",Autos & Vehicles,2014
25,FASIRKA RIYADA,"89,000","765,527",517,Education,2017
26,Somali Star Tv,"85,000","18,103,405","19,920",News & Politics,2015
27,Xidig Daruur,"73,800","152,048",236,Entertainment,2011
28,SOMNEWS TV,"65,500","7,791,713","30,987",People & Blogs,2015
29,Somalibooks,"63,300","7,154",10,Education,2011
30,GALEYR MEDIA,"42,200","1,021,611",27,Autos & Vehicles,2010
31,All Somali People,"35,657","12,200,293","2,469",People & Blogs,2016
32,Borama Cable,"35,400","4,378,941","2,387",People & Blogs,2014
33,Asraarta Riyooyinka  والرقية الشرعية,"34,200","1,548,719",854,Film & Animation,2011
34,Curubo Media,"24,200","106,294",223,Entertainment,2015
35,Horseed Media News,"21,500","5,213,660","2,093",News & Politics,2007
36,Abshir Dhiirane,"19,200","4,892,897",642,News & Politics,2011
37,Jiglan Media,"15,800","1,425,833",921,People & Blogs,2013
38,Horn of Africa,"15,100","1,886,686",11,People & Blogs,2014
39,SLNTV NEWS,"13,300","2,781,348","1,425",People & Blogs,2014
40,Ahmed Somali,"12,000","757,149",29,Entertainment,2013
41,Suhaybka,"10,900",741,37,People & Blogs,2013
42,CALI DUCALE,"10,100","2,090,192",260,News & Politics,2012
43,Farxada Nolosha,"8,181",0,0,Education,2016
44,McFarah Gulled,"7,740","527,872",190,Education,2012
45,abdihakiin yousuf,"6,736","348,137",16,Film & Animation,2016
46,Africa Tv,"6,500","556,062",29,,2014
47,Bulsho Media Paris,"5,480","258,782",37,Entertainment,2013
48,Justin pritish,"5,380","321,552",17,,2019
49,fugg,"5,000","401,936",4,,2010
50,MAQUUSTE STUDIO,"5,000","1,155",12,Entertainment,2017
51,Real KingMamba,"3,870","334,095",244,Gaming,2013
52,SLNTV Somaliland National Television,"3,590","427,804",727,Education,2010
53,Maweelo Tv,"3,237","744,608",21,Entertainment,2015
54,M.C.Y MR.,"2,690","355,259",14,People & Blogs,2017
55,FlashGordon,"2,290","4,883,127",38,Autos & Vehicles,2008
56,Hargeisa Wow,"2,200",0,0,People & Blogs,2016
57,Maag Official,"1,670","296,139",84,,2020
58,Walal TiGer1,"1,630","54,566",18,,2018
59,K'naan Djamal,"1,036","94,103",10,People & Blogs,2016
60,Mubarik Mario,935,"2,482",9,Music,2014
61,Xogdoone Khaddar Olad,327,"112,955",51,People & Blogs,2011
62,madaxtooyo news,193,"13,602",105,People & Blogs,2017
63,kr,100,0,0,Entertainment,2015
64,Legends Vision,0,"80,022",29,People & Blogs,2017
65,CMC MEDIA PRO,0,38,13,Music,2013
66,Som Tube,0,"92,134",26,Film & Animation,2016
67,Asma Studio,0,"717,674",88,Entertainment,2017
68,SOMALI NEWS LIVE HD,0,"19,214,695","3,514",News & Politics,2017
69,Dur-dur Media Group,0,"87,105,542","3,130",People & Blogs,2017
70,A.A.A KHAAJA,0,"283,750",401,Entertainment,2015
71,MO EG,0,"6,293,083","7,538",People & Blogs,2012
1,Garaad TV,"527,000","206,359,166","5,132",People & Blogs,2013
2,idaacadda buuloxuubeey,"522,000","61,298,156","1,116",People & Blogs,2013
3,HANOOLAATO,"480,000","69,472,383","1,989",Nonprofits & Activism,2014
4,Sheekh Mustafe Official Channel,"400,000","34,354,450",291,Education,2016
5,YAASIIN BALBALAADHSHE,"310,000","96,853,720","7,326",Entertainment,2014
6,RTN Somali TV,"279,000","44,828,984","21,027",People & Blogs,2016
7,iM252,"274,000","12,570,280",318,People & Blogs,2016
8,KNN,"253,000","75,309,050","23,719",News & Politics,2016
9,Cabeey Daahir,"231,000","6,078,191",208,Education,2015
10,Awoowe Xidig,"228,000","25,495,139",459,Science & Technology,2016
11,MamaMalyunSuuban,"218,000","60,382,285","2,953",People & Blogs,2019
12,Sheekh Maxamuud Shibli,"211,000","22,542,073","2,708",,2016
13,MAANSAN,"208,000","26,585,411","1,677",Film & Animation,2012
14,Somali World,"206,000","968,872",25,Entertainment,2016
15,Abdullaahi Daacad,"203,000","4,444,699",551,People & Blogs,2015
16,Daauus Media,"200,000","13,599,690","3,328",Entertainment,2016
17,Cabdimaalik muse coldoon,"179,000","24,583,223","1,293",News & Politics,2010
18,Arabsiyo News,"166,000","75,119,631","5,970",News & Politics,2017
19,Abdirahman C-BOY,"160,000","29,073,698",144,Film & Animation,2017
20,Wardheer Media Tv,"160,000","19,824,031","2,822",People & Blogs,2013
21,Future Brothers Production,"148,000","32,827,342",649,Film & Animation,2009
22,True Cable Tv,"109,000","12,926,218","3,379",Education,2015
23,Aar Maanta,"99,100","19,669,624",120,Music,2007
24,Waafi Films,"97,800","25,214,495","2,570",Autos & Vehicles,2014
25,FASIRKA RIYADA,"89,000","765,527",517,Education,2017
26,Somali Star Tv,"85,000","18,103,405","19,920",News & Politics,2015
27,Xidig Daruur,"73,800","152,048",236,Entertainment,2011
28,SOMNEWS TV,"65,500","7,791,713","30,987",People & Blogs,2015
29,Somalibooks,"63,300","7,154",10,Education,2011
30,GALEYR MEDIA,"42,200","1,021,611",27,Autos & Vehicles,2010
31,All Somali People,"35,657","12,200,293","2,469",People & Blogs,2016
32,Borama Cable,"35,400","4,378,941","2,387",People & Blogs,2014
33,Asraarta Riyooyinka  والرقية الشرعية,"34,200","1,548,719",854,Film & Animation,2011
34,Curubo Media,"24,200","106,294",223,Entertainment,2015
35,Horseed Media News,"21,500","5,213,660","2,093",News & Politics,2007
36,Abshir Dhiirane,"19,200","4,892,897",642,News & Politics,2011
37,Jiglan Media,"15,800","1,425,833",921,People & Blogs,2013
38,Horn of Africa,"15,100","1,886,686",11,People & Blogs,2014
39,SLNTV NEWS,"13,300","2,781,348","1,425",People & Blogs,2014
40,Ahmed Somali,"12,000","757,149",29,Entertainment,2013
41,Suhaybka,"10,900",741,37,People & Blogs,2013
42,CALI DUCALE,"10,100","2,090,192",260,News & Politics,2012
43,Farxada Nolosha,"8,181",0,0,Education,2016
44,McFarah Gulled,"7,740","527,872",190,Education,2012
45,abdihakiin yousuf,"6,736","348,137",16,Film & Animation,2016
46,Africa Tv,"6,500","556,062",29,,2014
47,Bulsho Media Paris,"5,480","258,782",37,Entertainment,2013
48,Justin pritish,"5,380","321,552",17,,2019
49,fugg,"5,000","401,936",4,,2010
50,MAQUUSTE STUDIO,"5,000","1,155",12,Entertainment,2017
51,Real KingMamba,"3,870","334,095",244,Gaming,2013
52,SLNTV Somaliland National Television,"3,590","427,804",727,Education,2010
53,Maweelo Tv,"3,237","744,608",21,Entertainment,2015
54,M.C.Y MR.,"2,690","355,259",14,People & Blogs,2017
55,FlashGordon,"2,290","4,883,127",38,Autos & Vehicles,2008
56,Hargeisa Wow,"2,200",0,0,People & Blogs,2016
57,Maag Official,"1,670","296,139",84,,2020
58,Walal TiGer1,"1,630","54,566",18,,2018
59,K'naan Djamal,"1,036","94,103",10,People & Blogs,2016
60,Mubarik Mario,935,"2,482",9,Music,2014
61,Xogdoone Khaddar Olad,327,"112,955",51,People & Blogs,2011
62,madaxtooyo news,193,"13,602",105,People & Blogs,2017
63,kr,100,0,0,Entertainment,2015
64,Legends Vision,0,"80,022",29,People & Blogs,2017
65,CMC MEDIA PRO,0,38,13,Music,2013
66,Som Tube,0,"92,134",26,Film & Animation,2016
67,Asma Studio,0,"717,674",88,Entertainment,2017
68,SOMALI NEWS LIVE HD,0,"19,214,695","3,514",News & Politics,2017
69,Dur-dur Media Group,0,"87,105,542","3,130",People & Blogs,2017
70,A.A.A KHAAJA,0,"283,750",401,Entertainment,2015
71,MO EG,0,"6,293,083","7,538",People & Blogs,2012
1,Garaad TV,"527,000","206,359,166","5,132",People & Blogs,2013
2,idaacadda buuloxuubeey,"522,000","61,298,156","1,116",People & Blogs,2013
3,HANOOLAATO,"480,000","69,472,383","1,989",Nonprofits & Activism,2014
4,Sheekh Mustafe Official Channel,"400,000","34,354,450",291,Education,2016
5,YAASIIN BALBALAADHSHE,"310,000","96,853,720","7,326",Entertainment,2014
6,RTN Somali TV,"279,000","44,828,984","21,027",People & Blogs,2016
7,iM252,"274,000","12,570,280",318,People & Blogs,2016
8,KNN,"253,000","75,309,050","23,719",News & Politics,2016
9,Cabeey Daahir,"231,000","6,078,191",208,Education,2015
10,Awoowe Xidig,"228,000","25,495,139",459,Science & Technology,2016
11,MamaMalyunSuuban,"218,000","60,382,285","2,953",People & Blogs,2019
12,Sheekh Maxamuud Shibli,"211,000","22,542,073","2,708",,2016
13,MAANSAN,"208,000","26,585,411","1,677",Film & Animation,2012
14,Somali World,"206,000","968,872",25,Entertainment,2016
15,Abdullaahi Daacad,"203,000","4,444,699",551,People & Blogs,2015
16,Daauus Media,"200,000","13,599,690","3,328",Entertainment,2016
17,Cabdimaalik muse coldoon,"179,000","24,583,223","1,293",News & Politics,2010
18,Arabsiyo News,"166,000","75,119,631","5,970",News & Politics,2017
19,Abdirahman C-BOY,"160,000","29,073,698",144,Film & Animation,2017
20,Wardheer Media Tv,"160,000","19,824,031","2,822",People & Blogs,2013
21,Future Brothers Production,"148,000","32,827,342",649,Film & Animation,2009
22,True Cable Tv,"109,000","12,926,218","3,379",Education,2015
23,Aar Maanta,"99,100","19,669,624",120,Music,2007
24,Waafi Films,"97,800","25,214,495","2,570",Autos & Vehicles,2014
25,FASIRKA RIYADA,"89,000","765,527",517,Education,2017
26,Somali Star Tv,"85,000","18,103,405","19,920",News & Politics,2015
27,Xidig Daruur,"73,800","152,048",236,Entertainment,2011
28,SOMNEWS TV,"65,500","7,791,713","30,987",People & Blogs,2015
29,Somalibooks,"63,300","7,154",10,Education,2011
30,GALEYR MEDIA,"42,200","1,021,611",27,Autos & Vehicles,2010
31,All Somali People,"35,657","12,200,293","2,469",People & Blogs,2016
32,Borama Cable,"35,400","4,378,941","2,387",People & Blogs,2014
33,Asraarta Riyooyinka  والرقية الشرعية,"34,200","1,548,719",854,Film & Animation,2011
34,Curubo Media,"24,200","106,294",223,Entertainment,2015
35,Horseed Media News,"21,500","5,213,660","2,093",News & Politics,2007
36,Abshir Dhiirane,"19,200","4,892,897",642,News & Politics,2011
37,Jiglan Media,"15,800","1,425,833",921,People & Blogs,2013
38,Horn of Africa,"15,100","1,886,686",11,People & Blogs,2014
39,SLNTV NEWS,"13,300","2,781,348","1,425",People & Blogs,2014
40,Ahmed Somali,"12,000","757,149",29,Entertainment,2013
41,Suhaybka,"10,900",741,37,People & Blogs,2013
42,CALI DUCALE,"10,100","2,090,192",260,News & Politics,2012
43,Farxada Nolosha,"8,181",0,0,Education,2016
44,McFarah Gulled,"7,740","527,872",190,Education,2012
45,abdihakiin yousuf,"6,736","348,137",16,Film & Animation,2016
46,Africa Tv,"6,500","556,062",29,,2014
47,Bulsho Media Paris,"5,480","258,782",37,Entertainment,2013
48,Justin pritish,"5,380","321,552",17,,2019
49,fugg,"5,000","401,936",4,,2010
50,MAQUUSTE STUDIO,"5,000","1,155",12,Entertainment,2017
51,Real KingMamba,"3,870","334,095",244,Gaming,2013
52,SLNTV Somaliland National Television,"3,590","427,804",727,Education,2010
53,Maweelo Tv,"3,237","744,608",21,Entertainment,2015
54,M.C.Y MR.,"2,690","355,259",14,People & Blogs,2017
55,FlashGordon,"2,290","4,883,127",38,Autos & Vehicles,2008
56,Hargeisa Wow,"2,200",0,0,People & Blogs,2016
57,Maag Official,"1,670","296,139",84,,2020
58,Walal TiGer1,"1,630","54,566",18,,2018
59,K'naan Djamal,"1,036","94,103",10,People & Blogs,2016
60,Mubarik Mario,935,"2,482",9,Music,2014
61,Xogdoone Khaddar Olad,327,"112,955",51,People & Blogs,2011
62,madaxtooyo news,193,"13,602",105,People & Blogs,2017
63,kr,100,0,0,Entertainment,2015
64,Legends Vision,0,"80,022",29,People & Blogs,2017
65,CMC MEDIA PRO,0,38,13,Music,2013
66,Som Tube,0,"92,134",26,Film & Animation,2016
67,Asma Studio,0,"717,674",88,Entertainment,2017
68,SOMALI NEWS LIVE HD,0,"19,214,695","3,514",News & Politics,2017
69,Dur-dur Media Group,0,"87,105,542","3,130",People & Blogs,2017
70,A.A.A KHAAJA,0,"283,750",401,Entertainment,2015
71,MO EG,0,"6,293,083","7,538",People & Blogs,2012
